06:52:14.578 [main] DEBUG	appLog: Program start
06:52:14.616 [main] DEBUG	o.j.logging: Logging Provider: org.jboss.logging.Log4j2LoggerProvider
06:52:14.633 [main] DEBUG	o.h.i.i.IntegratorServiceImpl: Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
06:52:14.635 [main] DEBUG	o.h.i.i.IntegratorServiceImpl: Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
06:52:14.641 [main] DEBUG	o.h.i.i.IntegratorServiceImpl: Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
06:52:14.663 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [Cache71] -> [org.hibernate.dialect.Cache71Dialect]
06:52:14.665 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [CUBRID] -> [org.hibernate.dialect.CUBRIDDialect]
06:52:14.666 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [DB2] -> [org.hibernate.dialect.DB2Dialect]
06:52:14.666 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [DB2390] -> [org.hibernate.dialect.DB2390Dialect]
06:52:14.667 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [DB2390V8] -> [org.hibernate.dialect.DB2390V8Dialect]
06:52:14.668 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [DB2400] -> [org.hibernate.dialect.DB2400Dialect]
06:52:14.668 [main] TRACE	o.h.b.r.s.i.StrategySelectorImpl: Registering named strategy selector [org.hibernate.dialect.Dialect] : [DB2400V7R3] -> [org.hibernate.dialect.DB2400V7R3Dialect]
